poi_id,name,category,lat,lon,address
goong_ua7xgoiQDlVkqK31dsUWAUkghb7SmeqrzThlrHrJqlOFmgHexslU9x098Y5ymRb76h3JVFq9RkO9ygWMsqGiq-H2AYBeyDef5eLhOWrRornzxmF0OmA6CmH-qVSWYD-PY,CĂN TIN TRƯỜNG HỌC,school,10.1935493,106.6895543,"CĂN TIN TRƯỜNG HỌC, 51 ĐT883, Bình Thới, Bình Đại, Bến Tre"
goong_J6MWg2ckI7lho3SLqmExpWWwLWOChtk6aaF0Z4Rjcq2AsWxStE6Bn1WwFEK0JfyMZJlWObEXgLl9xXMMqkr0gLWvf0FRqT4GDhcRVQYNz6pNmmUYVtRWD-GSxTj6DFMOq,Bệnh viện Lao phổi Long An,hospital,10.523034315000075,106.41415980000005,"Bệnh viện Lao phổi Long An, 319 Châu Thị Kim, Phường 7, Tân An, Long An"
goong_sOdslwsToHhKrEGpZom6u7nvaRXypGiWdS7U7ubZR2td9bQget0Xmn3awWhGZC4D1SoMyArd9lOaUr1EjrlecTeKwaFqcVZzZeLxKXpxsnPV5hlkKqqp4nHuMUSEKnK7c,Bệnh viện Nguyễn Văn Tuyên,hospital,10.513291912000057,106.50855527700008,"Bệnh viện Nguyễn Văn Tuyên, Tỉnh Lộ 833, Tân Trụ, Tân Trụ, Long An"
goong_kQqtkb1EuIFATeGaxu1yWkHTWSFKXBIntdb1-U5RcjeJwn0QHoGJ114FcrSCUB2zIKFRxcJZEjckt1XMol3CZ93WhS1WXXeLvdbFHU5FhmZF0i1QHpwf4kXanXCyjBurR,Bệnh viện Đa khoa Thành phố Gò Công,hospital,10.352541661000032,106.68410165000006,"Bệnh viện Đa khoa Thành phố Gò Công, Tỉnh Lộ 862, Phường 5, Gò Công, Tiền Giang"
goong_Y4LixUXGgxd-m2w6qnPw61WbVgevcY9n8TpstbBzrWl-BUmctBb8TmW_2x20FYt0VbJ_DqqLqmFiv1lEsdqL6mKgTjuDTqHHZ6NVQYNzg-pmFmUYVtRWTg2SxTj6DFPjD,Bệnh viện Tân Tây,hospital,10.398010241000065,106.71850074300005,"Bệnh viện Tân Tây, Tân Tây, Gò Công Đông, Tiền Giang"
goong_rFD0moN5rgt5g0wDtG6B9H2EYViYUe7HfNhAArR95vZMgjMYnG-gnXS8Nl4kQLvqStk3nbRuGe9Kq2VaeX3u232zSBNLh7tQVL3AlZ1tnV9H4h7FLqwuNnXpYryCdCubd,Chợ Gạo,market,10.3501329,106.4718415,"Chợ Gạo, Đồng Tháp"
goong_8JNm5QGloAJGpkxRdqYvctGIW4pQcnlNacI9LULqgmv58ljgkRrXlz2qkbRCnZpaRQLZAG5d07eVqplMUoAOk4WvQWyKhXLj_crZAVL9mlv9zjFMAlgCGlnGkWyuWAe3W,Chợ Mới 2,market,10.351250368000024,106.67243842800008,"Chợ Mới 2, Phường 5, Gò Công, Tiền Giang"
goong_XGIHR5JvgYtxsWoppHCRlGHUvQihcIGncGajCtRbrLhHj0wtoGKJ0XGPagiUTLjwd61EDpEFs9Uos0Rvr3HiT1wezahe7fp3odZlHU5F1kbFh-FQHp3SBkXajXCyRBurR,Chợ Mới 3,market,10.352336262000051,106.66561800800008,"Chợ Mới 3, Long Hòa, Gò Công, Tiền Giang"
goong_qk_dfppXwiZLV7oBsFedm39tQ1mcD4LmfrZ1WJ9Xhul7lE8Mq2mK3H2pPJKfDJqze6a2w514PYYjft5znHuS_E8jQF6McVunkfrpMWJpqmqx_gHoM81-KrH2oDCeaDeHa,Chợ Mới 1,market,10.355841390000023,106.66329642300008,"Chợ Mới 1, Phường 5, Gò Công, Tiền Giang"
goong_U4oM9fmruTNdalRj8YSLBWBAYk-KR4rwY6hxO45Ho6OCzl8xyGiMa7iEQ0e0HY3sbc5uR4JroM01lVoWih-61XeockmSR6aPbopcSKp6vONvkE8cmhyKim246RzfxHbzK,Chợ Mới Thành Phố Gò Công,market,10.3605904,106.6723162,"Chợ Mới Thành Phố Gò Công, Phường 1, Gò Công, Tiền Giang"
goong_SmPPYGeHenmPwF0HhmOHUKtB4cByH-5fYPqt3wLRki0quwsBFgkoJWYuYKSetTIv0VplJRLFkm8Ftpik7tE213XrCfBm2TLH-Y6dRRZd3h-5inUIRsRGXh2C1SjqHEPzH,Chợ Gò Công Mới,market,10.361025,106.672312,"Chợ Gò Công Mới, Đường Hai Bà Trưng, Phường 1, Thị Xã Gò Công, Tỉnh Tiền Giang"
goong_tnB1oJODvQU5im0skwSh0VaNeTOgY7rgObJDLypyj-Q9jEStKL-h815Zbie5nbXDTqNFNaZagNo0skMeuQVey7GydxOVlc16TRbN2m5Jjc1FWiXT6pZMFk16hdy6TBOjT,Chợ chiều cầu nổi,market,10.4567345,106.6388422,"Chợ chiều cầu nổi, Bình Đông, Gò Công, Tiền Giang"
